File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF781RJW	tsv	tsv		transcript quantifications	GRCh38	ENCSR558SEE	total RNA-seq	/human-donors/ENCDO027VXA/	EFO:0002106	A673	cell line	Homo sapiens											RNA					reverse	2021-08-18	ENCODE				2	2_1							/files/ENCFF533YVW/, /files/ENCFF471EAM/	28820703	ENCODE Processing Pipeline	c8e2ef0abd05f61a44a0cd0dc7291730		https://www.encodeproject.org/files/ENCFF781RJW/@@download/ENCFF781RJW.tsv	V29			released	s3://encode-public/2021/07/21/c9727054-8a7f-4828-9a8c-f3033285ee55/ENCFF781RJW.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/21/c9727054-8a7f-4828-9a8c-f3033285ee55/ENCFF781RJW.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF898FKI	tsv	tsv		transcript quantifications	GRCh38	ENCSR558SEE	total RNA-seq	/human-donors/ENCDO027VXA/	EFO:0002106	A673	cell line	Homo sapiens											RNA					reverse	2021-08-18	ENCODE				1	1_1							/files/ENCFF977LXH/, /files/ENCFF471EAM/	28813941	ENCODE Processing Pipeline	f8a452c47f788ca41856c41417af3c5a		https://www.encodeproject.org/files/ENCFF898FKI/@@download/ENCFF898FKI.tsv	V29			released	s3://encode-public/2021/07/21/a13106b5-a61d-45a9-9e3d-dd86d9fb147a/ENCFF898FKI.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/21/a13106b5-a61d-45a9-9e3d-dd86d9fb147a/ENCFF898FKI.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF814ZWE	tsv	tsv		transcript quantifications	GRCh38	ENCSR558SEE	total RNA-seq	/human-donors/ENCDO027VXA/	EFO:0002106	A673	cell line	Homo sapiens											RNA					reverse	2021-08-18	ENCODE				2	2_1							/files/ENCFF762LGA/, /files/ENCFF285DRD/	31374371	ENCODE Processing Pipeline	2359529cb61ff3baff2f7a956ca76281		https://www.encodeproject.org/files/ENCFF814ZWE/@@download/ENCFF814ZWE.tsv	V29			released	s3://encode-public/2021/07/21/66d05d4f-13a9-46a5-a759-9a2f61c7875c/ENCFF814ZWE.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/21/66d05d4f-13a9-46a5-a759-9a2f61c7875c/ENCFF814ZWE.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF619BUB	tsv	tsv		gene quantifications	GRCh38	ENCSR558SEE	total RNA-seq	/human-donors/ENCDO027VXA/	EFO:0002106	A673	cell line	Homo sapiens											RNA					reverse	2021-08-18	ENCODE				1	1_1							/files/ENCFF166VZH/, /files/ENCFF285DRD/	11034206	ENCODE Processing Pipeline	0f18ba56b2b06ed85ea5257af6829fca		https://www.encodeproject.org/files/ENCFF619BUB/@@download/ENCFF619BUB.tsv	V29			released	s3://encode-public/2021/07/21/c65992fb-cd7d-4a77-8e09-78eedcc4fb17/ENCFF619BUB.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/21/c65992fb-cd7d-4a77-8e09-78eedcc4fb17/ENCFF619BUB.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF908DWD	tsv	tsv		gene quantifications	GRCh38	ENCSR558SEE	total RNA-seq	/human-donors/ENCDO027VXA/	EFO:0002106	A673	cell line	Homo sapiens											RNA					reverse	2021-08-18	ENCODE				2	2_1							/files/ENCFF762LGA/, /files/ENCFF285DRD/	11031550	ENCODE Processing Pipeline	791a35305b7d4c510ff953dfa81bfb8a		https://www.encodeproject.org/files/ENCFF908DWD/@@download/ENCFF908DWD.tsv	V29			released	s3://encode-public/2021/07/21/7545dc34-40ff-4f92-a4bc-911d08ea6625/ENCFF908DWD.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/21/7545dc34-40ff-4f92-a4bc-911d08ea6625/ENCFF908DWD.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF199FVF	tsv	tsv		transcript quantifications	GRCh38	ENCSR558SEE	total RNA-seq	/human-donors/ENCDO027VXA/	EFO:0002106	A673	cell line	Homo sapiens											RNA					reverse	2021-08-18	ENCODE				1	1_1							/files/ENCFF166VZH/, /files/ENCFF285DRD/	31388866	ENCODE Processing Pipeline	e0acb52b73ca4b4729a5e0a5f3aca290		https://www.encodeproject.org/files/ENCFF199FVF/@@download/ENCFF199FVF.tsv	V29			released	s3://encode-public/2021/07/21/374616cd-f079-42c8-a921-5d35231a1007/ENCFF199FVF.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/21/374616cd-f079-42c8-a921-5d35231a1007/ENCFF199FVF.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF784ISI	tsv	tsv		transcript quantifications	GRCh38	ENCSR815NTL	total RNA-seq	/human-donors/ENCDO000AAP/	EFO:0001200	MCF 10A	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				2	2_1							/files/ENCFF152QMH/, /files/ENCFF471EAM/	28769183	ENCODE Processing Pipeline	b8ba8a770f27a928b93ed97aaeed6d30		https://www.encodeproject.org/files/ENCFF784ISI/@@download/ENCFF784ISI.tsv	V29			released	s3://encode-public/2021/07/21/44fb0071-de6f-4b56-ba4d-cab36d0be7b5/ENCFF784ISI.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/21/44fb0071-de6f-4b56-ba4d-cab36d0be7b5/ENCFF784ISI.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF055GVI	tsv	tsv		transcript quantifications	GRCh38	ENCSR815NTL	total RNA-seq	/human-donors/ENCDO000AAP/	EFO:0001200	MCF 10A	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				2	2_1							/files/ENCFF085YMY/, /files/ENCFF285DRD/	31403751	ENCODE Processing Pipeline	b78f349ea152cc1bbf41c3771338177f		https://www.encodeproject.org/files/ENCFF055GVI/@@download/ENCFF055GVI.tsv	V29			released	s3://encode-public/2021/07/21/0411ca25-80ff-48da-9485-286f828a90a2/ENCFF055GVI.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/21/0411ca25-80ff-48da-9485-286f828a90a2/ENCFF055GVI.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF146CMU	tsv	tsv		gene quantifications	GRCh38	ENCSR815NTL	total RNA-seq	/human-donors/ENCDO000AAP/	EFO:0001200	MCF 10A	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				1	1_1							/files/ENCFF917JEP/, /files/ENCFF285DRD/	11034042	ENCODE Processing Pipeline	aca94701fa51de74bdd0fd5b262a0c5c		https://www.encodeproject.org/files/ENCFF146CMU/@@download/ENCFF146CMU.tsv	V29			released	s3://encode-public/2021/07/21/482a528d-3bf2-4db3-8214-38acb245a65f/ENCFF146CMU.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/21/482a528d-3bf2-4db3-8214-38acb245a65f/ENCFF146CMU.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF410DTK	tsv	tsv		transcript quantifications	GRCh38	ENCSR815NTL	total RNA-seq	/human-donors/ENCDO000AAP/	EFO:0001200	MCF 10A	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				1	1_1							/files/ENCFF917JEP/, /files/ENCFF285DRD/	31402044	ENCODE Processing Pipeline	3c15cc49dc8d2027c5e8d678aaa58c3e		https://www.encodeproject.org/files/ENCFF410DTK/@@download/ENCFF410DTK.tsv	V29			released	s3://encode-public/2021/07/21/f6de68d5-c152-4b28-a867-2d26a094f23e/ENCFF410DTK.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/21/f6de68d5-c152-4b28-a867-2d26a094f23e/ENCFF410DTK.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF210KCZ	tsv	tsv		transcript quantifications	GRCh38	ENCSR815NTL	total RNA-seq	/human-donors/ENCDO000AAP/	EFO:0001200	MCF 10A	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				1	1_1							/files/ENCFF471EAM/, /files/ENCFF161ISZ/	28764805	ENCODE Processing Pipeline	bdd611d2ce119fd360c5ca210a8c9d1b		https://www.encodeproject.org/files/ENCFF210KCZ/@@download/ENCFF210KCZ.tsv	V29			released	s3://encode-public/2021/07/21/20d55cbf-f34f-4711-a25e-c64010e93759/ENCFF210KCZ.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/21/20d55cbf-f34f-4711-a25e-c64010e93759/ENCFF210KCZ.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF215WRT	tsv	tsv		gene quantifications	GRCh38	ENCSR815NTL	total RNA-seq	/human-donors/ENCDO000AAP/	EFO:0001200	MCF 10A	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				2	2_1							/files/ENCFF085YMY/, /files/ENCFF285DRD/	11035072	ENCODE Processing Pipeline	b4f64f04c61ab8bcc2dc886bbcbdc89b		https://www.encodeproject.org/files/ENCFF215WRT/@@download/ENCFF215WRT.tsv	V29			released	s3://encode-public/2021/07/21/99b1d5f7-ef20-4c33-b061-1968fbb9374d/ENCFF215WRT.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/21/99b1d5f7-ef20-4c33-b061-1968fbb9374d/ENCFF215WRT.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF425ABP	tsv	tsv		gene quantifications	GRCh38	ENCSR897JEH	total RNA-seq	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				2	2_1							/files/ENCFF765KPA/, /files/ENCFF285DRD/	11024682	ENCODE Processing Pipeline	a1165700ae9e1fec9e0bfac0825c0118		https://www.encodeproject.org/files/ENCFF425ABP/@@download/ENCFF425ABP.tsv	V29			released	s3://encode-public/2021/07/20/94c68834-b3cc-490e-bac8-15e707ffe009/ENCFF425ABP.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/20/94c68834-b3cc-490e-bac8-15e707ffe009/ENCFF425ABP.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF472SUX	tsv	tsv		gene quantifications	GRCh38	ENCSR897JEH	total RNA-seq	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				1	1_1							/files/ENCFF550HGL/, /files/ENCFF285DRD/	11026186	ENCODE Processing Pipeline	43a960a2db871b3959aab364c4ba2a28		https://www.encodeproject.org/files/ENCFF472SUX/@@download/ENCFF472SUX.tsv	V29			released	s3://encode-public/2021/07/20/dfb6898d-dea9-4e24-9d76-9a51946d6cf2/ENCFF472SUX.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/20/dfb6898d-dea9-4e24-9d76-9a51946d6cf2/ENCFF472SUX.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF871JYS	tsv	tsv		transcript quantifications	GRCh38	ENCSR897JEH	total RNA-seq	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				1	1_1							/files/ENCFF471EAM/, /files/ENCFF538XBL/	28732337	ENCODE Processing Pipeline	2590b17273f3c051d8a76a1feb0d6796		https://www.encodeproject.org/files/ENCFF871JYS/@@download/ENCFF871JYS.tsv	V29			released	s3://encode-public/2021/07/20/bae69089-a7d5-4d8c-969e-ffed5617e597/ENCFF871JYS.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/20/bae69089-a7d5-4d8c-969e-ffed5617e597/ENCFF871JYS.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF956FVP	tsv	tsv		transcript quantifications	GRCh38	ENCSR897JEH	total RNA-seq	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				2	2_1							/files/ENCFF373OFI/, /files/ENCFF471EAM/	28818861	ENCODE Processing Pipeline	51df981c5740eb18b6ad75072a45a563		https://www.encodeproject.org/files/ENCFF956FVP/@@download/ENCFF956FVP.tsv	V29			released	s3://encode-public/2021/07/20/1bad4dde-a88b-434f-b2d1-56a7a6850b6d/ENCFF956FVP.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/20/1bad4dde-a88b-434f-b2d1-56a7a6850b6d/ENCFF956FVP.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF105NPK	tsv	tsv		transcript quantifications	GRCh38	ENCSR897JEH	total RNA-seq	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				1	1_1							/files/ENCFF550HGL/, /files/ENCFF285DRD/	31354969	ENCODE Processing Pipeline	65dc453ba5acf07a9c4b2a5a86db3a17		https://www.encodeproject.org/files/ENCFF105NPK/@@download/ENCFF105NPK.tsv	V29			released	s3://encode-public/2021/07/20/b0845531-3d20-4da1-aa06-246b659b9265/ENCFF105NPK.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/20/b0845531-3d20-4da1-aa06-246b659b9265/ENCFF105NPK.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF461OGN	tsv	tsv		transcript quantifications	GRCh38	ENCSR897JEH	total RNA-seq	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				2	2_1							/files/ENCFF765KPA/, /files/ENCFF285DRD/	31352226	ENCODE Processing Pipeline	bd0a269c24d86b784d7b36500d0162db		https://www.encodeproject.org/files/ENCFF461OGN/@@download/ENCFF461OGN.tsv	V29			released	s3://encode-public/2021/07/20/4c0c0622-b4ff-444a-90f9-3bb260dd594b/ENCFF461OGN.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/20/4c0c0622-b4ff-444a-90f9-3bb260dd594b/ENCFF461OGN.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF636RLP	tsv	tsv		transcript quantifications	GRCh38	ENCSR993JMV	total RNA-seq	/human-donors/ENCDO628LXZ/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											RNA					reverse	2021-08-18	ENCODE				2	2_1							/files/ENCFF471EAM/, /files/ENCFF446NGX/	28744172	ENCODE Processing Pipeline	74bf4f9fce142d41c9ec7303201bd3c4		https://www.encodeproject.org/files/ENCFF636RLP/@@download/ENCFF636RLP.tsv	V29			released	s3://encode-public/2021/07/20/8a47e7dc-70c8-461c-96ff-e6245a093803/ENCFF636RLP.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/20/8a47e7dc-70c8-461c-96ff-e6245a093803/ENCFF636RLP.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF740BPP	tsv	tsv		transcript quantifications	GRCh38	ENCSR993JMV	total RNA-seq	/human-donors/ENCDO628LXZ/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											RNA					reverse	2021-08-18	ENCODE				1	1_1							/files/ENCFF471EAM/, /files/ENCFF596YNO/	28753803	ENCODE Processing Pipeline	f1cc881b4a5ec91447ccd8a1d19ef3a9		https://www.encodeproject.org/files/ENCFF740BPP/@@download/ENCFF740BPP.tsv	V29			released	s3://encode-public/2021/07/20/d12b01b6-9f1b-48c5-82dd-cb9ad078867f/ENCFF740BPP.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/20/d12b01b6-9f1b-48c5-82dd-cb9ad078867f/ENCFF740BPP.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF454MTF	tsv	tsv		gene quantifications	GRCh38	ENCSR993JMV	total RNA-seq	/human-donors/ENCDO628LXZ/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											RNA					reverse	2021-08-18	ENCODE				1	1_1							/files/ENCFF219PFB/, /files/ENCFF285DRD/	11032750	ENCODE Processing Pipeline	9569e249c601605bb408b712229427c9		https://www.encodeproject.org/files/ENCFF454MTF/@@download/ENCFF454MTF.tsv	V29			released	s3://encode-public/2021/07/20/6bae01c1-a29f-4620-9905-db60cf93afe6/ENCFF454MTF.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/20/6bae01c1-a29f-4620-9905-db60cf93afe6/ENCFF454MTF.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF097RRW	tsv	tsv		transcript quantifications	GRCh38	ENCSR993JMV	total RNA-seq	/human-donors/ENCDO628LXZ/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											RNA					reverse	2021-08-18	ENCODE				1	1_1							/files/ENCFF219PFB/, /files/ENCFF285DRD/	31380484	ENCODE Processing Pipeline	0060fc0cf53cbd35ee93ddcb6c3f394c		https://www.encodeproject.org/files/ENCFF097RRW/@@download/ENCFF097RRW.tsv	V29			released	s3://encode-public/2021/07/20/2a6bc828-051e-4720-a42c-a4fae0ee3edd/ENCFF097RRW.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/20/2a6bc828-051e-4720-a42c-a4fae0ee3edd/ENCFF097RRW.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF886JPY	tsv	tsv		transcript quantifications	GRCh38	ENCSR993JMV	total RNA-seq	/human-donors/ENCDO628LXZ/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											RNA					reverse	2021-08-18	ENCODE				2	2_1							/files/ENCFF815YTV/, /files/ENCFF285DRD/	31393045	ENCODE Processing Pipeline	18786f446ddad6ddf75ddf21ad9a8785		https://www.encodeproject.org/files/ENCFF886JPY/@@download/ENCFF886JPY.tsv	V29			released	s3://encode-public/2021/07/20/1d706095-83a5-4bab-9bcf-4eeda5912b54/ENCFF886JPY.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/20/1d706095-83a5-4bab-9bcf-4eeda5912b54/ENCFF886JPY.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF134FYP	tsv	tsv		gene quantifications	GRCh38	ENCSR993JMV	total RNA-seq	/human-donors/ENCDO628LXZ/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											RNA					reverse	2021-08-18	ENCODE				2	2_1							/files/ENCFF815YTV/, /files/ENCFF285DRD/	11035019	ENCODE Processing Pipeline	4e904bd384a9756cc9bf65686c375aa2		https://www.encodeproject.org/files/ENCFF134FYP/@@download/ENCFF134FYP.tsv	V29			released	s3://encode-public/2021/07/20/641cc557-43df-41f6-8044-c689997a10db/ENCFF134FYP.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/20/641cc557-43df-41f6-8044-c689997a10db/ENCFF134FYP.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
